 nds-w "nas-daß" nas-w nas-2 ns-w ns-ob xa nrs-2 "ns-daß" "nds-daß" nds-ob xd nrs-w x nir xp npr ndi ni ns-2 nds-2 nad na "xs-daß" nai nd xr n nar nap "nrs-daß" nrs-ob np ndp nr ndr nas-ob 
spekulieren 0.0 0.0 0.0 0.00354 0.00476 0.00311 0.0 0.0 0.00177 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02281 0.0 -0.0078 -0.08579 0.0 0.0 -0.01302 0.0 0.17889 0.0 -0.01381 0.0 0.0 1.09707 0.0 0.0 0.0 0.0 
sprechen 0.0 1e-05 -0.00041 -0.00116 -0.00217 0.0 -0.00284 -0.00014 0.00389 0.0 0.0 -0.00026 0.0 0.0 -0.00037 -0.0003 -0.00419 -0.00119 -0.01012 -0.00901 -0.00026 -0.02057 -0.09035 0.0 -0.00408 0.01316 0.0 0.22715 -0.00047 -0.02814 0.0 0.0 0.73452 0.00263 -0.0014 0.0 0.0 
denken 0.0 0.0006 0.00054 -0.00123 0.00138 0.0 0.0 0.00187 0.1695 -6e-05 0.0 0.0 0.0006 -0.00066 -0.00138 -0.00084 -0.00158 -0.00093 0.01037 0.36832 0.0 -0.01617 -0.09084 0.0 -0.00407 -0.01215 0.0 0.15058 0.03363 -0.0225 0.00441 0.0 0.229 -0.00175 -0.00908 -0.00163 0.0 
stehen 0.0 0.0 -0.00018 -0.00032 -0.00201 0.0 -0.00327 0.0 -0.00031 0.0 0.0 -0.00026 0.0 0.00342 -0.00019 0.0115 -0.0027 -0.00151 -0.00996 -0.01048 0.0 -0.0205 -0.07418 0.0 -0.00417 0.00448 -0.00014 0.09717 -0.00044 -0.02709 0.0 0.0 0.99999 0.07139 -0.00186 -0.00024 0.0 
eliminieren 0.0 0.0 0.0 0.0 0.09373 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02213 0.0 -0.02056 0.7074 0.0 0.0 0.0 0.0 -0.04159 0.0 -0.00202 0.0 0.0 -0.02948 0.0 0.0 0.0 0.0 
saufen 0.0 0.0 0.04201 0.01326 0.01519 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00258 0.0 -0.00876 0.06977 0.0 -0.02017 -0.03148 0.0 0.0 0.02516 0.0 0.24133 0.01011 -0.02551 0.0 0.0 0.0958 0.04652 0.0 0.06155 0.0 
erkennen 0.00042 0.00473 -0.00042 0.00762 0.04515 0.00037 0.0 0.0 0.1466 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00627 0.0 -0.00898 0.00136 0.0 0.00865 0.36423 0.0 -0.00093 -0.01309 0.0 -0.05244 -0.00146 0.10323 0.0 0.0 -0.02883 -0.00098 -0.00778 0.0 0.0 
ärgern 0.0 0.00089 0.0 -0.00115 -0.00217 0.0 0.0 0.43202 0.00187 0.0 0.0 0.0 0.00448 0.0 0.0 0.0 0.19635 0.0 0.0 -0.00475 0.0 -0.02033 -0.01321 0.0 -0.0049 -0.01234 0.0 -0.0415 0.00532 -0.02486 0.07092 0.0 -0.01094 -0.00267 0.84993 0.02192 0.0 
beibringen 0.23654 0.0 0.0 0.01019 -0.00115 0.0 0.0 0.0 0.0 0.05455 0.0 0.0 0.04651 0.0 -0.00145 0.0 0.0 0.06831 0.0 0.0 0.02272 1.46314 -0.07495 0.0 0.0 -0.00638 0.0 0.0 0.29512 -0.0271 0.03049 0.0 0.0 0.00248 -0.00835 0.01607 0.0 
erfahren 0.00382 0.01081 0.02093 -0.00016 0.17292 0.00758 -0.00218 0.0 0.1221 0.0 0.0 0.0 0.0 -0.00169 0.0 0.0 0.0 0.0 -0.00415 0.01826 0.0 -0.0159 0.13373 0.0 -0.00302 -0.01278 0.0 0.0057 0.0 0.08003 0.0 0.0 0.00171 -0.00128 -0.00138 -0.00151 0.01748 
